date;disel_type1_price;disel_type2_price;disel_type3_price
2016-01-01;3.6792;3.6152;2.5904
2016-01-02;3.6792;3.6152;2.5904
2016-01-03;3.6792;3.6152;2.5904
2016-01-04;3.6792;3.6152;2.5904
2016-01-05;3.6736;3.6096;2.5896
2016-01-06;3.684;3.62;2.6024
2016-01-07;3.684;3.62;2.6024
2016-01-08;3.6776;3.6136;2.6176
2016-01-09;3.6552;3.5912;2.6032
2016-01-10;3.6552;3.5912;2.6032
2016-01-11;3.6552;3.5912;2.6032
2016-01-12;3.6064;3.5424;2.5912
2016-01-13;3.5912;3.5272;2.5704
2016-01-14;3.5776;3.5136;2.5512
2016-01-15;3.5656;3.5016;2.5296
2016-01-16;3.5672;3.5032;2.5184
2016-01-17;3.5672;3.5032;2.5184
2016-01-18;3.5672;3.5032;2.5184
2016-01-19;3.5608;3.4968;2.5104
2016-01-20;3.5528;3.4888;2.5024
2016-01-21;3.4936;3.4296;2.484
2016-01-22;3.5152;3.4512;2.4744
2016-01-23;3.5672;3.5032;2.528
2016-01-24;3.5672;3.5032;2.528
2016-01-25;3.5672;3.5032;2.528
2016-01-26;3.5904;3.5264;2.5232
2016-01-27;3.592;3.528;2.536
2016-01-28;3.608;3.544;2.5568
2016-01-29;3.6336;3.5696;2.6032
2016-01-30;3.6392;3.5752;2.6024
2016-01-31;3.6392;3.5752;2.6024
2016-02-01;3.6392;3.5752;2.6024
2016-02-02;3.644;3.58;2.596
2016-02-03;3.6296;3.5656;2.5856
2016-02-04;3.628;3.564;2.584
2016-02-05;3.6336;3.5696;2.5864
2016-02-06;3.6408;3.5768;2.576
2016-02-07;3.6408;3.5768;2.576
2016-02-08;3.6408;3.5768;2.576
2016-02-09;3.6352;3.5712;2.5736
2016-02-10;3.6144;3.5504;2.564
2016-02-11;3.5856;3.5216;2.5456
2016-02-12;3.5504;3.4864;2.5
2016-02-13;3.5704;3.5064;2.508
2016-02-14;3.5704;3.5064;2.508
2016-02-15;3.5704;3.5064;2.508
2016-02-16;3.5832;3.5192;2.532
2016-02-17;3.5896;3.5256;2.552
2016-02-18;3.612;3.548;2.564
2016-02-19;3.6336;3.5696;2.5736
2016-02-20;3.6256;3.5616;2.576
2016-02-21;3.6256;3.5616;2.576
2016-02-22;3.6256;3.5616;2.576
2016-02-23;3.6352;3.5712;2.572
2016-02-24;3.6152;3.5512;2.5576
2016-02-25;3.6184;3.5544;2.556
2016-02-26;3.624;3.56;2.5504
2016-02-27;3.6352;3.5712;2.5696
2016-02-28;3.6352;3.5712;2.5696
2016-02-29;3.6352;3.5712;2.5696
2016-03-01;3.644;3.58;2.5912
2016-03-02;3.6568;3.5928;2.608
2016-03-03;3.672;3.608;2.6192
2016-03-04;3.684;3.62;2.6248
2016-03-05;3.692;3.628;2.6344
2016-03-06;3.692;3.628;2.6344
